time,seconds_elapsed,lux
1686155380613385500,1207.969385498047,344
1686155380734326500,1208.0903264160156,342
1686155380992444200,1208.3484440917969,344
1686155381052930000,1208.4089299316406,342
1686155381113416000,1208.469416015625,344
1686155381173901800,1208.5299018554688,342
1686155381294873300,1208.6508732910156,340
1686155381415814700,1208.7718146972657,337
1686155381613324300,1208.96932421875,340
1686155381673779700,1209.0297797851563,337
1686155381734265600,1209.090265625,340
1686155381855237000,1209.2112370605469,337
1686155381915723000,1209.2717229003906,340
1686155381976209000,1209.332208984375,337
1686155382173993200,1209.5299931640625,342
1686155382234479000,1209.5904790039062,340
1686155382294995500,1209.6509953613281,344
1686155382415967200,1209.7719672851563,347
1686155382476453000,1209.832453125,344
1686155382536908300,1209.892908203125,349
1686155382734845400,1210.0908454589844,344
1686155382795331300,1210.1513312988282,347
1686155382976788700,1210.3327888183594,344
1686155383097729800,1210.4537297363281,342
1686155383234845400,1210.5908454589844,340
1686155383355786500,1210.7117863769531,342
1686155383416242000,1210.7722419433594,337
1686155383537183000,1210.8931828613281,340
1686155383658154800,1211.0141547851563,337
1686155383795361800,1211.1513618164063,342
1686155383976727800,1211.3327277832032,337
1686155384037183000,1211.3931828613281,342
1686155384097638400,1211.4536384277344,340
1686155384158124300,1211.5141242675782,344
1686155384218610000,1211.5746098632812,347
1686155384355756000,1211.7117561035157,349
1686155384416242000,1211.7722419433594,351
1686155384476758300,1211.8327583007813,354
1686155384597699300,1211.95369921875,363
1686155384658154800,1212.0141547851563,351
1686155384718610000,1212.0746098632812,349
1686155384779035000,1212.1350349121094,342
1686155384976422400,1212.3324223632812,340
1686155385097302500,1212.4533024902344,330
1686155385157758000,1212.5137580566407,340
1686155385218182700,1212.5741826171875,330
1686155385278607600,1212.6346076660157,328
1686155385536542200,1212.8925422363282,326
1686155385657483300,1213.0134831542969,323
1686155385717938700,1213.0739387207032,326
1686155385778393900,1213.1343937988281,330
1686155385838818800,1213.1948188476563,326
1686155385899243500,1213.2552434082031,323
1686155386036206300,1213.3922062988281,321
1686155386157086500,1213.5130864257812,319
1686155386338422000,1213.6944221191407,316
1686155386398877400,1213.7548774414063,314
1686155386459393800,1213.8153937988282,319
1686155386596387000,1213.9523869628906,316
1686155386656812000,1214.0128120117188,319
1686155386717297700,1214.0732976074219,314
1686155386959237000,1214.315237060547,312
1686155387019753500,1214.3757534179688,314
1686155387156960500,1214.5129604492188,307
1686155387217446400,1214.5734462890625,309
1686155387277901600,1214.6339016113282,307
1686155387338387500,1214.694387451172,312
1686155387398873300,1214.7548732910157,314
1686155387777840600,1215.133840576172,316
1686155387838357000,1215.1943569335938,314
1686155387898843000,1215.2548427734375,316
1686155387959328800,1215.315328857422,314
1686155388080331000,1215.4363310546876,309
1686155388140816600,1215.4968166503907,307
1686155388277962800,1215.6339626464844,305
1686155388338448600,1215.6944487304688,302
1686155388459420200,1215.8154201660157,305
1686155388580361500,1215.9363615722657,302
1686155388701333000,1216.0573330078125,300
1686155388838509600,1216.1945095214844,295
1686155388898934500,1216.2549345703126,293
1686155388959420200,1216.3154201660157,295
1686155389019906000,1216.3759060058594,291
1686155389080392000,1216.4363918457032,293
1686155389201363700,1216.5573637695313,288
1686155389261849300,1216.6178493652344,291
1686155389398903800,1216.7549038085938,300
1686155389459359200,1216.8153591308594,295
1686155389519814700,1216.8758146972657,288
1686155389580269800,1216.9362697753907,284
1686155389640786200,1216.9967861328125,281
1686155389701272000,1217.0572719726563,279
1686155389761758000,1217.1177580566407,277
1686155389822243800,1217.1782438964844,272
1686155389959451000,1217.3154509277344,274
1686155390080422400,1217.4364223632813,277
1686155390201394200,1217.5573942871094,272
1686155390261849300,1217.6178493652344,274
1686155390322335200,1217.6783352050782,270
1686155390519936500,1217.8759365234375,265
1686155390580361500,1217.9363615722657,260
1686155390701241600,1218.0572416992188,258
1686155390882638000,1218.2386381835938,256
1686155390943093200,1218.2990932617188,258
1686155391080147700,1218.4361477050782,267
1686155391261544200,1218.6175441894532,263
1686155391322030000,1218.678030029297,265
1686155391382485500,1218.7384855957032,263
1686155391503457000,1218.85945703125,265
1686155391640969200,1218.9969692382813,253
1686155391701455000,1219.057455078125,249
1686155391761941000,1219.1179409179688,246
1686155391822427000,1219.1784270019532,244
1686155391882943200,1219.2389431152344,246
1686155392003914800,1219.359914794922,242
1686155392201577200,1219.5575771484375,246
1686155392262093600,1219.6180935058594,249
1686155392322579500,1219.6785793457032,251
1686155392504006400,1219.8600063476563,249
1686155392564461800,1219.9204619140626,251
1686155392624947700,1219.9809477539063,253
1686155392762093600,1220.1180935058594,212
1686155392822579500,1220.1785793457032,205
1686155392883065300,1220.2390654296876,221
1686155392943581700,1220.2995817871094,239
1686155393064553200,1220.4205532226563,244
1686155393125039000,1220.4810390625,256
1686155393185525000,1220.5415249023438,258
1686155393322701600,1220.6787016601563,267
1686155393504128500,1220.8601284179688,272
1686155393564614400,1220.9206145019532,274
1686155393625100300,1220.981100341797,272
1686155393685525000,1221.0415249023438,277
1686155393883156700,1221.2391567382813,284
1686155393943642600,1221.299642578125,286
1686155394004159000,1221.360158935547,288
1686155394064644900,1221.4206447753907,293
1686155394125130800,1221.481130859375,300
1686155394185616600,1221.5416166992188,305
1686155394246102300,1221.602102294922,302
1686155394306588200,1221.6625881347657,305
1686155394443642600,1221.799642578125,302
1686155394504098000,1221.8600981445313,312
1686155394564522800,1221.9205227050782,319
1686155394625008600,1221.981008544922,340
1686155394685494500,1222.0414946289063,344
1686155394745980400,1222.10198046875,349
1686155394806466000,1222.1624660644532,351
